HILIC-neg_Cluster_0035	serine
HILIC-neg_Cluster_0036	glycerate
HILIC-neg_Cluster_0040	pyrocatechol
HILIC-neg_Cluster_0049	uracil
HILIC-neg_Cluster_0059	proline
HILIC-neg_Cluster_0061	fumarate/maleate*
HILIC-neg_Cluster_0062	alpha-ketoisovalerate
HILIC-neg_Cluster_0064	caproic acid
HILIC-neg_Cluster_0066	valine
HILIC-neg_Cluster_0069	succite
HILIC-neg_Cluster_0070	hydroxyisovaleric acid
HILIC-neg_Cluster_0073	threonine
HILIC-neg_Cluster_0079	4-hydroxybenzaldehyde
HILIC-neg_Cluster_0082	nicotinate
HILIC-neg_Cluster_0084	4-methylcatechol
HILIC-neg_Cluster_0085	taurine
HILIC-neg_Cluster_0087	thymine
HILIC-neg_Cluster_0103	acetylalanine
HILIC-neg_Cluster_0105	leucine
HILIC-neg_Cluster_0112	asparagine
HILIC-neg_Cluster_0113	2-hydroxy-3-methylpentanoic acid /  leucinic acid
HILIC-neg_Cluster_0117	aspartate
HILIC-neg_Cluster_0118	malate
HILIC-neg_Cluster_0120	adenine
HILIC-neg_Cluster_0122	erythronic acid
HILIC-neg_Cluster_0123	hypoxanthine
HILIC-neg_Cluster_0125	phenylacetate
HILIC-neg_Cluster_0129	salicylate
HILIC-neg_Cluster_0133	4-nitrophenol
HILIC-neg_Cluster_0156	caprylic acid
HILIC-neg_Cluster_0159	alpha-ketoglutarate
HILIC-neg_Cluster_0161	2-methylglutaric acid
HILIC-neg_Cluster_0162	glutamine
HILIC-neg_Cluster_0166	glutamate
HILIC-neg_Cluster_0169	2-hydroxyglutarate
HILIC-neg_Cluster_0173	methionine
HILIC-neg_Cluster_0174	tartarate
HILIC-neg_Cluster_0176	xylose
HILIC-neg_Cluster_0181	hydrocinnamic acid
HILIC-neg_Cluster_0182	guanine
HILIC-neg_Cluster_0187	xanthine
HILIC-neg_Cluster_0192	ribitol
HILIC-neg_Cluster_0199	dihydroxybenzoic acid
HILIC-neg_Cluster_0201	histidine
HILIC-neg_Cluster_0203	orotate
HILIC-neg_Cluster_0204	imidazolelactate
HILIC-neg_Cluster_0220	3-methyladipate-pimelate
HILIC-neg_Cluster_0230	levoglucosan
HILIC-neg_Cluster_0232	acesulfame
HILIC-neg_Cluster_0237	fucose
HILIC-neg_Cluster_0242	phenylalanine
